,symbol,timestamp,open,high,low,close,volume,trade_count,vwap
0,AAPL,2025-12-01 09:00:00+00:00,275.96,277.85,275.96,276.95,1197.0,106.0,276.82911
1,AAPL,2025-12-01 09:01:00+00:00,276.97,276.98,276.8,276.8,678.0,33.0,276.9
2,AAPL,2025-12-01 09:03:00+00:00,276.94,276.97,276.94,276.97,648.0,17.0,276.963258
3,AAPL,2025-12-01 09:04:00+00:00,276.98,277.03,276.98,277.03,1077.0,23.0,277.020667
4,AAPL,2025-12-01 09:05:00+00:00,277.17,277.35,277.17,277.3,1501.0,70.0,277.291877
5,AAPL,2025-12-01 09:09:00+00:00,277.27,277.27,277.27,277.27,150.0,13.0,277.27
6,AAPL,2025-12-01 09:13:00+00:00,277.19,277.19,277.19,277.19,818.0,35.0,277.19
7,AAPL,2025-12-01 09:16:00+00:00,277.13,277.16,277.13,277.16,457.0,10.0,277.147253
8,AAPL,2025-12-01 09:20:00+00:00,277.01,277.01,276.99,276.99,730.0,25.0,276.995038
9,AAPL,2025-12-01 09:22:00+00:00,276.98,276.99,276.98,276.99,1464.0,7.0,276.988764
10,AAPL,2025-12-01 09:25:00+00:00,276.98,277.0,276.98,277.0,1100.0,30.0,276.988636
11,AAPL,2025-12-01 09:26:00+00:00,276.98,276.98,276.98,276.98,348.0,15.0,276.98
12,AAPL,2025-12-01 09:32:00+00:00,276.8,276.8,276.8,276.8,433.0,27.0,276.8
13,AAPL,2025-12-01 09:33:00+00:00,276.84,276.86,276.84,276.86,1031.0,23.0,276.854723
14,AAPL,2025-12-01 09:35:00+00:00,276.84,276.84,276.84,276.84,191.0,6.0,276.84
15,AAPL,2025-12-01 09:39:00+00:00,276.8,276.8,276.8,276.8,449.0,15.0,276.8
16,AAPL,2025-12-01 09:42:00+00:00,276.8,276.8,276.8,276.8,570.0,35.0,276.8
17,AAPL,2025-12-01 09:45:00+00:00,276.83,276.89,276.83,276.89,1041.0,26.0,276.878439
18,AAPL,2025-12-01 09:48:00+00:00,276.86,276.86,276.85,276.85,565.0,24.0,276.853333
